English,Turkish
decrease,azaltmak
indication,gösterge
rail,Demiryolu
anniversary,yıl dönümü
couch,kanepe
alliance,ittifak
hypothesis,hipotez
boyfriend,erkek arkadaş
compose,beste yapmak
mess,karışıklık
legend,efsane
regulate,düzenlemek
adolescent,ergen
shine,parlamak
norm,norm
upset,üzgün
remark,açıklama
resign,istifa etmek
reward,ödül
gentle,nazik
related,ilgili
organ,organ
lightly,hafifçe
concerning,ilişkin
invent,icat etmek
laughter,kahkaha
northwest,Kuzey Batı
counseling,danışmanlık
receiver,alıcı
ritual,ritüel
insect,böcek
interrupt,yarıda kesmek
salmon,somon
trading,ticaret
magic,büyü
superior,üst
combat,dövüş
stem,kök
surgeon,Cerrah
acceptable,kabul edilebilir
physics,fizik
rape,tecavüz
counsel,öğüt
jeans,kot
hunt,avlamak
continuous,sürekli
log,kayıt
echo,Eko
pill,hap
excited,heyecanlı
sculpture,heykel
compound,birleştirmek
integrate,birleştirmek
flour,un
bitter,acı
bare,çıplak
slope,eğim
rent,kira
presidency,başkanlık
serving,hizmet
subtle,hemen göze çarpmayan
greatly,büyük ölçüde
bishop,piskopos
drinking,içme
acceptance,kabul
pump,pompa
candy,Şeker
evil,fenalık
pleased,memnun
medal,madalya
beg,dilenmek
sponsor,sponsor
ethical,etik
secondary,ikincil
slam,çarpmak
export,ihracat
experimental,deneysel
melt,eritmek
midnight,gece yarısı
curve,eğri
integrity,bütünlük
entitle,hak vermek
evident,belirgin
logic,mantık
essence,öz
exclude,hariç tutmak
harsh,sert
closet,dolap
suburban,banliyö
greet,selamlaşmak
interior,iç mekan
corridor,koridor
retail,perakende
pitcher,sürahi
march,mart
snake,yılan
excuse,mazeret
weakness,zayıflık
pig,domuz
classical,klasik
estimated,tahmini
T-shirt,Tişört
unemployment,işsizlik
civilization,uygarlık
fold,katlamak
reverse,tersi
missing,eksik
correlation,korelasyon
humanity,insanlık
flash,flaş
developer,geliştirici
reliable,güvenilir
excitement,heyecanlanmak
beef,biftek
Islam,İslâm
Roman,Roma
architecture,mimari
occasional,ara sıra
administrative,Yönetim
elbow,dirsek
deadly,ölümcül
Hispanic,İspanyol
allegation,iddia
confuse,kafası karışmak
airplane,uçak
monthly,aylık
duck,ördek
dose,doz
Korean,Koreli
plead,yalvarmak
initiate,başlatmak
lecture,ders
van,kamyonet
sixth,altıncı
bay,koy
mainstream,ana akım
suburb,kenar mahalle
sandwich,sandviç
trunk,gövde
rumor,söylenti
implementation,uygulama
swallow,yutmak
motivate,motive etmek
render,oluşturmak
longtime,uzun zaman
trap,tuzak
restrict,kısıtlamak
cloth,kumaş
seemingly,görünüşte
legislative,yasama
effectiveness,verimlilik
enforce,zorlamak
lens,lens
inspector,müfettiş
lend,ödünç vermek
plain,ova
fraud,sahtekar
companion,Arkadaş
contend,çekişmek
nail,çivi
array,sıralamak
strict,sıkı
assemble,birleştirmek
frankly,açıkçası
rat,fare
hay,saman
hallway,koridor
cave,mağara
inevitable,kaçınılmaz
southwest,güneybatı
monster,canavar
unexpected,beklenmedik
obstacle,engel
facilitate,kolaylaştırmak
rip,Huzur içinde yatsın
herb,bitki
overwhelming,ezici
integration,entegrasyon
crystal,kristal
recession,durgunluk
written,yazılı
motive,sebep
flood,sel basmak
pen,dolma kalem
ownership,mülkiyet
nightmare,kabus
inspection,denetleme
supervisor,gözetmen
consult,danışmak
arena,arena
diagnosis,Teşhis
possession,mülk
forgive,affetmek
consistently,sürekli
basement,bodrum
drift,sürüklenme
drain,boşaltmak
prosecution,Soruşturma
maximum,maksimum
announcement,duyuru
warrior,savaşçı
prediction,tahmin
bacteria,bakteri
questionnaire,anket
mud,çamur
infrastructure,altyapı
hurry,acele etmek
privilege,ayrıcalık
temple,tapınak
outdoor,dış mekan
suck,emmek
and/or,ve/veya
broadcast,yayın
re,tekrar
leap,sıçramak
random,rastgele
wrist,bilek
curtain,perde
pond,gölet
domain,ihtisas
guilt,suç
cattle,sığırlar
walking,yürüme
playoff,Final oynamak
minimum,minimum
fiscal,mali
skirt,etek
dump,çöplük
hence,buradan
database,veri tabanı
uncomfortable,rahatsız
execute,uygulamak
limb,uzuv
ideology,ideoloji
tune,melodi
continuing,devam ediyor
harm,zarar
railroad,demiryolu
endure,dayanmak
radiation,radyasyon
horn,korna
chronic,kronik
peaceful,barışçıl
innovation,yenilik
strain,gerilmek
guitar,gitar
replacement,yenisiyle değiştirme
behave,davranmak
administer,yönetmek
simultaneously,eşzamanlı
dancer,dansçı
amendment,değişiklik
pad,ped
transmission,bulaşma
await,beklemek
retired,emekli
trigger,tetiklemek
spill,dökülme
grateful,minnettar
grace,lütuf
virtual,sanal
colony,koloni
adoption,Benimseme
indigenous,yerli
closed,kapalı
convict,mahkum
towel,havlu
modify,değiştirmek
particle,parçacık
prize,ödül
landing,iniş
boost,artırmak
bat,yarasa
alarm,alarm
festival,Festival
grip,kavramak
weird,garip
undermine,baltalamak
freshman,birinci sınıf öğrencisi
sweat,ter
outer,dış
drunk,sarhoş
separation,ayrılma
traditionally,geleneksel olarak
govern,yönetmek
southeast,güneydoğu
intelligent,zeki
wherever,her nerede
ballot,oy pusulası
rhetoric,retorik
convinced,ikna edilmiş
driving,sürme
vitamin,vitamini
enthusiasm,heves
accommodate,Karşılamak
praise,övmek
injure,yaralamak
wilderness,el değmemiş doğa
endless,sonsuz
mandate,vekalet
respectively,sırasıyla
uncertainty,belirsizlik
chaos,kaos
mechanical,mekanik
canvas,tuval
forty,kırk
lobby,lobi
profound,engin
format,biçim
trait,karakter
currency,para birimi
turkey,Türkiye
reserve,rezerv
beam,ışın
astronomer,astronom
corruption,yolsuzluk
contractor,müteahhit
apologize,özür dilemek
doctrine,doktrin
genuine,eşsiz
thumb,baş parmak
unity,birlik
compromise,anlaşmak
horrible,berbat
behavioral,davranışsal
exclusive,özel
scatter,dağılım
commonly,yaygın olarak
convey,iletmek
twist,büküm
complexity,karmaşıklık
fork,çatal
disk,disk
relieve,rahatlamak
suspicion,şüphe
health-care,sağlık hizmeti
residence,Konut
shame,utanç
meaningful,anlamlı
sidewalk,kaldırım
Olympics,Olimpiyatlar
technological,teknolojik
signature,imza
pleasant,güzel
wow,Vay
suspend,askıya almak
rebel,isyancı
frozen,dondurulmuş
spouse,eş
fluid,sıvı
pension,emeklilik
resume,sürdürmek
theoretical,teorik
sodium,sodyum
promotion,terfi
delicate,narin
forehead,alın
rebuild,yeniden inşa etmek
bounce,sıçrama
electrical,elektriksel
hook,kanca
detective,dedektif
traveler,gezgin
click,tıklamak
compensation,tazminat
exit,çıkış
attraction,cazibe
dedicate,adamak
altogether,tamamen
pickup,toplamak
carve,oymak
needle,iğne
belly,karın
scare,Korkmak
portfolio,portföy
shuttle,servis aracı
invisible,görünmez
timing,zamanlama
engagement,nişanlanmak
ankle,bilek
transaction,işlem
rescue,kurtarmak
counterpart,karşılık
historically,tarihsel olarak
firmly,sıkıca
mild,hafif
rider,binici
doll,oyuncak bebek
noon,öğlen
amid,ortasında
identical,birebir aynı
precise,kesin
anxious,endişeli
structural,yapısal
residential,yerleşim
diagnose,teşhis koymak
carbohydrate,karbonhidrat
liberty,özgürlük
poster,afiş
theology,teoloji
nonprofit,kar amacı gütmeyen
crawl,sürünmek
oxygen,oksijen
handsome,Yakışıklı
sum,toplam
provided,tedarik edilen
businessman,işadamı
promising,umut verici
conscious,bilinçli
determination,kararlılık
donor,bağışçı
hers,onunki
pastor,papaz
jazz,caz
opera,opera
acquisition,kazanma
pit,çukur
hug,sarılmak
wildlife,yaban hayatı
punish,cezalandırmak
equity,Eşitlik
doorway,kapı aralığı
departure,kalkış
elevator,asansör
teenage,genç
guidance,rehberlik
happiness,mutluluk
statue,heykel
pursuit,kovalama
repair,tamirat
decent,düzgün
gym,spor salonu
oral,Oral
clerk,katip
envelope,mektup
reporting,raporlama
destination,varış noktası
fist,yumruk
endorse,onaylamak
exploration,keşif
generous,cömert
bath,banyo
thereby,böylece
indicator,gösterge
sunlight,Güneş ışığı
feedback,geri bildirim
spectrum,spektrum
purple,mor
laser,lazer
bold,gözü pek
reluctant,isteksiz
starting,Başlangıç
expertise,Uzmanlık
practically,pratikte
eating,yemek yiyor
hint,ipucu
sharply,keskin bir şekilde
parade,geçit töreni
realm,Diyar
cancel,iptal etmek
blend,karışım
therapist,terapist
peel,soymak
pizza,Pizza
recipient,alıcı
hesitate,tereddüt etmek
flip,çevir
accounting,muhasebe
bias,ön yargı
huh,Ha
metaphor,metafor
candle,mum
judicial,adli
entity,varlık
suffering,cefa
full-time,tam zamanlı
lamp,lamba
garbage,çöp
servant,hizmetkar
regulatory,düzenleyici
diplomatic,diplomatik
elegant,zarif
reception,resepsiyon
vanish,yok olmak
automatically,otomatik olarak
chin,çene
necessity,gereklilik
confess,itiraf etmek
racism,ırkçılık
starter,başlangıç
banking,bankacılık
casual,gündelik
gravity,yer çekimi
enroll,kaydolmak
diminish,azaltmak
prevention,önleme
minimize,küçültmek
chop,kesmek
performer,icracı
intent,niyet
isolate,izole etmek
inventory,envanter
productive,üretken
assembly,toplantı
civic,sivil
silk,ipek
magnitude,büyüklük
steep,dik
hostage,rehin
collector,kolektör
popularity,popülerlik
alien,yabancı
dynamic,dinamik
scary,korkutucu
equation,denklem
angel,melek
offering,teklif
rage,öfkelenmek
photography,fotoğrafçılık
toilet,tuvalet
disappointed,hayal kırıklığına uğramış
precious,değerli
prohibit,yasaklamak
realistic,gerçekçi
hidden,gizlenmiş
tender,sunmak
gathering,toplama
outstanding,üstün
stumble,yanılmak
lonely,yalnız
automobile,otomobil
artificial,yapay
dawn,şafak
abstract,soyut
descend,inmek
silly,şapşal
tide,gelgit
shared,Paylaşıldı
hopefully,umutla
readily,kolayca
cooperate,işbirliği yapmak
revolutionary,devrimci
romance,romantik
hardware,donanım
pillow,yastık
kit,kiti
continent,kıta
seal,fok
circuit,devre
ruling,yonetmek
shortage,kıtlık
annually,yıllık
lately,son zamanlarda
scan,tarama
fool,aptal
deadline,son teslim tarihi
rear,arka
processing,işleme
ranch,çiftlik
coastal,kıyı
undertake,üstlenmek
softly,usulca
burning,yanan
verbal,sözlü
tribal,kabile
ridiculous,saçma
automatic,otomatik
diamond,elmas
credibility,güvenilirlik
import,içe aktarmak
sexually,cinsel olarak
divine,ilahi
sentiment,duygusallık
cart,araba
oversee,denetlemek
o'clock,saat
elder,yaşlı
pro,profesyonel
inspiration,esin
Dutch,Flemenkçe
quantity,miktar
trailer,römork
mate,mat
Greek,Yunan
genius,dahi
monument,anıt
bid,teklif etmek
quest,arayış
sacrifice,kurban etmek
invitation,davet
accuracy,kesinlik
juror,jüri üyesi
officially,resmi olarak
broker,komisyoncu
treasure,hazine
loyalty,bağlılık
talented,yetenekli
gasoline,benzin
stiff,katı
output,çıktı
nominee,aday
extended,uzatılmış
diabetes,diyabet
slap,tokat
toxic,zehirli
alleged,iddia edilen
jaw,çene
grief,yas
mysterious,gizemli
rocket,roket
donate,bağış yapmak
inmate,mahkum
tackle,olta takımı
dynamics,dinamikler
bow,yay
ours,bizim
dignity,itibar
carpet,halı
parental,ebeveyn
bubble,kabarcık
buddy,ahbap
barn,ahır
sword,kılıç
seventh,yedinci
glory,görkem
tightly,sıkıca
protective,koruyucu
tuck,sıkıştırmak
drum,davul
faint,bayılmak
queen,kraliçe
dilemma,ikilem
input,giriş
specialize,uzmanlaşmak
northeast,kuzeydoğu
shallow,sığ
liability,yükümlülük
sail,denize açılmak
merchant,tüccar
stadium,stadyum
improved,gelişmiş
bloody,kanlı
associated,birleşmiş
withdrawal,para çekme
refrigerator,buzdolabı
nest,yuva
thoroughly,iyice
lane,Lane
ancestor,Ata
condemn,kınamak
steam,buhar
accent,aksan
optimistic,iyimser
unite,birleşmek
cage,kafes
equip,donatmak
shrimp,karides
homeland,vatan
rack,raf
costume,kostüm
wolf,kurt
courtroom,mahkeme salonu
statute,yasa
cartoon,karikatür
productivity,üretkenlik
grin,sırıtış
symbolic,simgesel
bug,böcek
bless,korusun
aunt,hala
agriculture,tarım
hostile,düşmanca
conceive,hamile kalmak
combined,kombine
instantly,aniden
bankruptcy,iflas
vaccine,aşı
bonus,bonus
collaboration,işbirliği
mixed,karışık
opposed,karşı çıktı
orbit,yörünge
grasp,sıkı sıkı tutmak
patience,sabır
spite,kin
tropical,tropikal
voting,oy verme
patrol,devriye gezmek
willingness,isteklilik
revelation,vahiy
calm,sakinlik
jewelry,takı
Cuban,Küba
haul,çekmek
concede,teslim olmak
wagon,vagon
afterward,sonrasında
spectacular,muhteşem
ruin,mahvetmek
sheer,şeffaf
immune,bağışıklık
reliability,güvenilirlik
ass,eşek
alongside,yanında
bush,çalı
exotic,acayip
fascinating,büyüleyici
clip,klips
thigh,uyluk
bull,Boğa
drawer,çekmece
sheep,koyun
discourage,vazgeçirmek
coordinator,koordinatör
ideological,ideolojik
runner,koşucu
secular,laik
intimate,samimi
empire,imparatorluk
cab,taksi
exam,sınav
documentary,belgesel
neutral,doğal
biology,Biyoloji
flexible,esnek
progressive,ilerici
web,ağ
conspiracy,komplo
casualty,zayiat
republic,cumhuriyet
execution,uygulamak
terrific,müthiş
whale,balina
functional,fonksiyonel
instinct,içgüdü
teammate,takım arkadaşı
aluminum,alüminyum
whoever,her kim
ministry,bakanlık
verdict,karar
instruct,öğretmek
skull,kafatası
self-esteem,özgüven
cooperative,kooperatif
manipulate,manipule etmek
bee,bal arısı
practitioner,uygulayıcı
loop,döngü
edit,düzenlemek
whip,kırbaç
puzzle,bulmaca
mushroom,mantar
subsidy,sübvansiyon
boil,kaynamak
tragic,trajik
mathematics,matematik
mechanic,tamirci
jar,kavanoz
earthquake,deprem
pork,domuz eti
creativity,yaratıcılık
safely,güvenli bir şekilde
underlying,altta yatan
dessert,tatlı
sympathy,sempati
fisherman,balıkçı
incredibly,inanılmaz şekilde
isolation,izolasyon
sock,çorap
eleven,on bir
sexy,seksi
entrepreneur,girişimci
syndrome,sendromu
bureau,büro
workplace,iş yeri
ambition,tutku
touchdown,gol
utilize,faydalanmak
breeze,Meltem
costly,pahalı
ambitious,hırslı
Christianity,Hıristiyanlık
presumably,muhtemelen
influential,etkili
translation,tercüme
uncertain,belirsiz
dissolve,çözünmek
statistical,istatistiksel
gut,bağırsak
metropolitan,büyükşehir
rolling,yuvarlamak
aesthetic,estetik
spell,hecelemek
insert,sokmak
booth,çardak
helmet,kask
waist,bel
expected,beklenen
lion,aslan
accomplishment,başarı
royal,asil
panic,panik
crush,ezmek
actively,aktif olarak
cliff,uçurum
minimal,en az
cord,kordon
fortunately,neyse ki
cocaine,kokain
illusion,yanılsama
anonymous,anonim
tolerate,tahammül etmek
appreciation,takdir
commissioner,komiser
flexibility,esneklik
instructional,eğitici
scramble,kapışmak
casino,kumarhane
tumor,tümör
decorate,süslemek
pulse,nabız
equivalent,eş değer
fixed,sabit
experienced,Tecrübeli
donation,bağış
diary,günlük
sibling,kardeş
irony,ironi
spoon,kaşık
midst,ortasında
alley,sokak
interact,etkileşime girmek
soap,sabun
cute,Sevimli
rival,rakip
short-term,kısa vadeli
punch,yumruk
pin,toplu iğne
hockey,hokey
passing,geçen
persist,ısrar etmek
supplier,Tedarikçi
known,bilinen
momentum,itme
purse,el çantası
shed,baraka
liquid,sıvı
icon,simge
elephant,fil
consequently,sonuç olarak
legislature,yasama organı
franchise,imtiyaz
correctly,doğru şekilde
mentally,zihinsel olarak
foster,bakmak
bicycle,bisiklet
encouraging,teşvik edici
cheat,aldatmak
heal,iyileştirmek
fever,ateş
filter,filtre
rabbit,tavşan
coin,madeni para
exploit,faydalanmak
accessible,erişilebilir
organism,organizma
sensation,duygu
partially,kısmen
upstairs,üst katta
dried,kurutulmuş
conservation,koruma
shove,kıpırdamak
backyard,arka bahçe
charter,kiralama
stove,soba
consent,onay
comprise,içermek
reminder,hatırlatma
alike,benzer
placement,atama
dough,hamur
grandchild,torun
dam,baraj
reportedly,bildirildiğine göre
well-known,tanınmış
surrounding,çevreleyen
ecological,ekolojik
outfit,kıyafet
unprecedented,benzeri görülmemiş
columnist,köşe yazarı
workout,antrenman yapmak
preliminary,ön hazırlık
patent,patent
shy,utangaç
trash,çöp
disabled,engelli
gross,brüt
damn,lanet etmek
hormone,hormon
texture,doku
pencil,kalem
frontier,sınır
spray,sprey
disclose,ifşa etmek
custody,velayet
banker,bankacı
beast,canavar
interfere,müdahale etmek
oak,meşe
eighth,sekizinci
notebook,not defteri
outline,taslak
attendance,katılım
speculation,spekülasyon
uncover,ortaya çıkarmak
behalf,adına
innovative,yenilikçi
shark,köpek balığı
mill,değirmen
installation,kurulum
stimulate,canlandırmak
tag,etiket
vertical,dikey
swimming,yüzme
fleet,filo
catalog,katalog
outsider,yabancı
desperately,umutsuzca
stance,duruş
compel,zorlamak
sensitivity,duyarlılık
someday,bir gün
instant,ani
debut,ilk çıkış
proclaim,ilan etmek
worldwide,Dünya çapında
hike,yürüyüş
required,gerekli
confrontation,yüzleşme
colorful,renkli
constitution,anayasa
trainer,eğitimci
Thanksgiving,Şükran günü
scent,koku
stack,yığın
eyebrow,kaş
sack,çuval
cease,durdurmak
inherit,miras almak
tray,tepsi
pioneer,öncü
organizational,organizasyonel
textbook,ders kitabı
uh,ah
nasty,edepsiz
shrink,çekmek
emerging,Ortaya çıkan
dot,nokta
wheat,buğday
fierce,şiddetli
envision,tasavvur etmek
rational,akılcı
kingdom,krallık
aisle,koridor
weaken,zayıflatmak
protocol,protokol
exclusively,münhasıran
vocal,vokal
marketplace,Pazar yeri
openly,açıkça
unfair,haksız
terrain,arazi
deploy,dağıtmak
risky,riskli
pasta,makarna
genre,tür
distract,dikkatini dağıtmak
merit,liyakat
planner,planlamacı
depressed,bunalımlı
chunk,yığın
closest,en yakın
discount,indirim
ladder,merdiven
jungle,orman
migration,göç
breathing,nefes almak
invade,istila etmek
hurricane,kasırga
retailer,perakendeci
classify,sınıflandırmak
coup,darbe
ambassador,büyükelçi
density,yoğunluk
supportive,destekleyici
curiosity,merak
skip,atlamak
aggression,saldırganlık
stimulus,uyarıcı
journalism,gazetecilik
robot,robot
dip,daldırma
likewise,aynı şekilde
informal,resmi olmayan
Persian,Farsça
feather,tüy
sphere,küre
tighten,sıkılaştırmak
boast,övünme
pat,okşamak
perceived,algılanan
sole,ayak tabanı
publicity,tanıtım
unfold,açılmak
well-being,refah
validity,geçerlilik
ecosystem,ekosistem
strictly,kesinlikle
partial,kısmi
collar,yaka
weed,esrar
compliance,uyma
streak,rüzgâr gibi geçmek
supposedly,sözde
added,katma
builder,inşaatçı
glimpse,bakış
premise,Öncül
specialty,uzmanlık
deem,düşünmek
artifact,eser
sneak,gizlice
monkey,maymun
mentor,akıl hocası
two-thirds,üçte iki
listener,dinleyici
lightning,yıldırım
legally,yasal olarak
sleeve,elbise kolu
disappointment,hayal kırıklığı
disturb,rahatsız etmek
rib,kaburga
excessive,aşırı
high-tech,yüksek teknoloji
debris,enkaz
rod,kamış
logical,mantıklı
ash,kül
socially,sosyal olarak
parish,mahalle
slavery,kölelik
blank,boşluk
commodity,emtia
cure,tedavi
mineral,mineral
hunger,açlık
dying,ölme
developmental,gelişimsel
faster,Daha hızlı
spare,kıyamamak
halfway,yarı yolda
equality,eşitlik
cemetery,mezarlık
harassment,taciz
deliberately,kasten
fame,şöhret
regret,pişmanlık
striking,dikkat çekici
likelihood,olasılık
carrot,havuç
atop,tepede
toll,Geçiş ücreti
rim,jant
embarrassed,utanmış
fucking,kahrolası
cling,sarılmak
isolated,yalıtılmış
blink,göz kırpmak
suspicious,şüpheli
wheelchair,tekerlekli sandalye
squad,Tayfa
eligible,hak sahibi
processor,işlemci
plunge,dalma
demographic,demografik
chill,sakin olmak
refuge,sığınak
steer,yönlendirmek
legislator,yasa koyucu
rally,miting
programming,programlama
cheer,tezahürat
outlet,çıkış
intact,bozulmamış
vendor,SATICI
thrive,gelişmek
peanut,fıstık
chew,çiğnemek
elaborate,detaylandırmak
conception,anlayış
auction,açık arttırma
steak,biftek
comply,uymak
triumph,zafer
shareholder,hissedar
comparable,karşılaştırılabilir
transport,Ulaşım
conscience,vicdan
calculation,hesaplama
considerably,önemli ölçüde
interval,aralık
scratch,çizik
awake,uyanmak
jurisdiction,yargı yetkisi
inevitably,kaçınılmaz olarak
feminist,feminist
constraint,kısıtlama
emotionally,duygusal olarak
expedition,sefer
allegedly,iddiaya göre
similarity,benzerlik
butt,popo
lid,kapak
dumb,sersem
bulk,toplu
sprinkle,serpmek
mortality,ölüm
philosophical,felsefi
conversion,dönüştürmek
patron,patron
municipal,belediye
liver,karaciğer
harmony,uyum
solely,sadece
tolerance,hata payı
goat,keçi
blessing,nimet
banana,muz
palace,Saray
formerly,vakti zamanında
peasant,köylü
neat,düzenli
grandparent,büyükanne ve büyükbaba
lawmaker,yasa koyucu
supermarket,süpermarket
cruise,dolaşmak
mobile,mobil
calendar,takvim
widow,dul
deposit,Depozito
beard,sakal
brake,fren
screening,tarama
impulse,dürtü
forbid,yasaklamak
fur,kürk
brutal,vahşi
predator,yırtıcı hayvan
poke,dürtmek
opt,tercih
voluntary,gönüllü
valid,geçerli
forum,forum
dancing,dans
happily,mutlu bir şekilde
soar,uçmak
removal,kaldırma
autonomy,özerklik
enact,sahnelemek
thread,iplik
landmark,dönüm noktası
unhappy,mutsuz
offender,suçlu
coming,gelen
privately,özel olarak
fraction,kesir
distinctive,ayırt edici
tourism,turizm
threshold,eşik
routinely,rutin olarak
suite,süit
regulator,regülatör
straw,pipet
theological,teolojik
exhaust,egzoz
globe,küre
fragile,kırılgan
objection,itiraz
chemistry,kimya
old-fashioned,eski moda
crowded,kalabalık
blast,büyük patlama
prevail,hakim olmak
overnight,bir gecede
denial,inkar
rental,kiralama
fantastic,fantastik
fragment,parça
screw,vida
warmth,sıcaklık
undergraduate,lisans
headache,baş ağrısı
policeman,polis
projection,projeksiyon
suitable,uygun
graduation,mezuniyet
drill,delmek
cruel,acımasız
mansion,konak
grape,üzüm
authorize,yetki vermek
cottage,kır evi
driveway,araba yolu
charm,cazibe
sexuality,cinsellik
loyal,sadık
clay,kil
balloon,balon
invention,buluş
ego,benlik
fare,Ücret
homework,Ev ödevi
disc,disk
sofa,divan
availability,kullanılabilirlik
radar,radar
frown,kaşlarını çatmak
regain,yeniden kazanmak
sweater,Kazak
rehabilitation,rehabilitasyon
rubber,lastik
retreat,geri çekilmek
molecule,molekül
freely,özgürce
favorable,elverişli
steadily,istikrarlı bir şekilde
integrated,Birleşik
ha,Ha
youngster,genç
premium,ödül
accountability,Hesap verebilirlik
overwhelm,kaplamak
one-third,üçte bir
contemplate,düşünmek
update,güncelleme
spark,kıvılcım
ironically,ironik bir şekilde
fatigue,tükenmişlik
speculate,spekülasyon yapmak
marker,işaretleyici
preach,vaaz vermek
bucket,Kova
blond,sarışın
confession,itiraf
provoke,kışkırtmak
marble,mermer
substantially,esasen
defender,defans oyuncusu
explicit,açık
disturbing,rahatsız edici
surveillance,gözetim
magnetic,manyetik
technician,teknisyen
mutter,mırıldanmak
devastating,yıkıcı
depart,ayrılmak
arrow,ok
trauma,travma
neighboring,komşu
soak,emmek
ribbon,kurdele
meantime,bu arada
transmit,iletmek
harvest,hasat
consecutive,ardışık
coordinate,koordinat
spy,casus
slot,yuva
riot,isyan
nutrient,besin
citizenship,vatandaşlık
severely,şiddetli
sovereignty,egemenlik
ridge,çıkıntı
brave,cesur
lighting,aydınlatma
specify,belirtmek
contributor,katkıda bulunan
frustrate,hayal kırıklığına uğratmak
articulate,ifade
importantly,önemlisi
transit,taşıma
dense,yoğun
seminar,seminer
electronics,elektronik
sunny,güneşli
shorts,şort
swell,kabarma
accusation,suçlama
soften,yumuşatmak
straighten,düzeltmek
terribly,korkunç derecede
cue,isteka
bride,gelin
biography,biyografi
hazard,tehlike
compelling,zorlayıcı
seldom,nadiren
tile,fayans
economically,ekonomik olarak
honestly,Açıkçası
troubled,sorunlu
twentieth,yirminci
balanced,dengeli
foreigner,yabancı
convenience,kolaylık
delight,zevk
weave,örgü
timber,kereste
till,kadar
accurately,doğru bir şekilde
plea,savunma
bulb,ampul
flying,uçan
sustainable,sürdürülebilir
devil,şeytan
bolt,cıvata
cargo,kargo
spine,omurga
seller,satıcı
skilled,yetenekli
managing,yönetmek
marine,deniz
dock,rıhtım
organized,organize edilmiş
fog,sis
diplomat,diplomat
boring,sıkıcı
sometime,bazen
summary,özet
missionary,misyoner
epidemic,epidemi
fatal,ölümcül
trim,düzeltme
warehouse,depo
accelerate,hızlanmak
butterfly,kelebek
bronze,bronz
drown,bastırmak
inherent,doğuştan
nationwide,ülke çapında
spit,tükürmek
kneel,diz çökmek
vacuum,vakum
selected,seçilmiş
dictate,dikte